Seth Lugo,4.87,4.5,6,6.0
Bryce Miller,5.53,5.5,6,3.1
Dean Kremer,4.26,5.5,5,3.0
Alec Marsh,4.77,3.5,5,4.0
Jon Gray,5.34,5.5,4,6.0
Michael Lorenzen,4.89,4.5,4,5.0
Bobby Miller,5.23,5.5,4,5.2
Alex Cobb,5.84,4.5,3,5.0
Ronel Blanco,4.99,5.5,2,5.0
Cal Quantrill,3.14,3.5,1,3.1
Shane McClanahan,6.83,6.5,1,3.0
Osvaldo Bido,5.99,4.5,0,3.1
Tyler Glasnow,6.72,7.5,11,5.2
Tanner Bibee,4.38,4.5,9,5.2
Bailey Ober,6.07,4.5,8,7.0
Marcus Stroman,5.01,3.5,7,5.2
George Kirby,5.97,5.5,7,7.0
Kyle Bradish,4.64,6.5,7,6.0
Yusei Kikuchi,4.83,5.5,7,4.1
Corbin Burnes,7.4,6.5,7,7.0
Zack Wheeler,6.6,6.5,6,5.0
Justin Verlander,5.68,6.5,6,7.0
Hunter Brown,6.78,6.5,6,4.0
Ryne Nelson,3.36,4.5,6,7.1
Kutter Crawford,4.42,3.5,5,5.2
Nathan Eovaldi,5.65,5.5,5,7.0
Charlie Morton,6.22,6.5,5,5.2
Brandon Williamson,3.81,3.5,5,5.0
Jack Flaherty,4.64,5.5,4,6.0
Michael Wacha,4.77,4.5,4,5.0
Daniel Lynch,4.83,3.5,4,5.0
Anthony DeSclafani,4.43,3.5,3,3.0
Tyler Anderson,4.58,4.5,3,5.0
MacKenzie Gore,5.0,6.5,3,2.2
Luis Severino,5.42,5.5,2,4.0
Julio Urias,5.5,4.5,2,3.0
Johan Oviedo,5.6,5.5,1,5.0
Eury Perez,5.85,5.5,0,0.1
Zac Gallen,5.41,6.5,12,7.0
Spencer Strider,9.05,8.5,9,6.2
Reid Detmers,5.45,6.5,9,6.0
Rich Hill,4.48,5.5,8,5.0
Kevin Gausman,6.7,7.5,7,5.0
Sonny Gray,6.16,4.5,7,6.0
Jameson Taillon,4.72,3.5,6,5.0
Luis Castillo,7.61,7.5,6,6.0
Sandy Alcantara,4.07,4.5,6,5.0
Jordan Montgomery,4.99,4.5,6,6.2
Ranger Suarez,5.18,5.5,5,5.1
Gerrit Cole,7.19,6.5,5,6.0
Brady Singer,5.96,4.5,4,7.0
Matt Manning,4.15,3.5,4,5.0
Connor Seabold,4.47,3.5,4,5.0
Colin Rea,4.73,4.5,3,6.2
Tony Gonsolin,4.74,4.5,3,3.2
Taj Bradley,6.53,6.5,3,3.1
Aaron Civale,4.1,4.5,2,6.0
Trevor Williams,3.44,3.5,1,5.0
Garrett Whitlock,4.45,4.5,1,1.0
Cole Irvin,4.08,4.5,1,5.0
Logan Webb,5.96,5.5,11,6.2
Joe Ryan,7.15,6.5,9,6.0
Julio Teheran,3.84,4.5,7,6.0
Bryan Woo,7.24,5.5,7,6.0
Braxton Garrett,5.11,5.5,6,5.2
