Name,Handedness,Team,Opponent,Date,RGID
Taijuan Walker,R,PHI,SFG,2023-05-17,15266,592836,walketa01
Ross Stripling,R,SFG,PHI,2023-05-17,16188,548389,stripro01
Carlos Hernandez,R,KCR,SDP,2023-05-17,1452081,672578,hernaca04
Yu Darvish,R,SDP,KCR,2023-05-17,13412,506433,darviyu01
Griffin Canning,R,LAA,BAL,2023-05-17,980775,656288,cannigr01
Kyle Bradish,R,BAL,LAA,2023-05-17,2106116,680694,bradiky01
MacKenzie Gore,L,WAS,MIA,2023-05-17,2039965,669022,gorema01
Edward Cabrera,R,MIA,WAS,2023-05-17,1452626,665795,cabreed02
Gerrit Cole,R,NYY,TOR,2023-05-17,15859,543037,colege01
Chris Bassitt,R,TOR,NYY,2023-05-17,17633,605135,bassich01
Marco Gonzales,L,SEA,BOS,2023-05-17,17509,594835,gonzama02
Brayan Bello,R,BOS,SEA,2023-05-17,3201947,678394,bellobr01
Josh Fleming,L,TBR,NYM,2023-05-17,2039184,676596,flemijo01
Kodai Senga,R,NYM,TBR,2023-05-17,4552262,673540,sengako01
Corbin Burnes,R,MIL,STL,2023-05-17,449732,669203,burneco01
Matthew Liberatore,L,STL,MIL,2023-05-17,2040078,669461,liberma01
Spencer Strider,R,ATL,TEX,2023-05-17,3116717,675911,stridsp01
Nathan Eovaldi,R,TEX,ATL,2023-05-17,11440,543135,eovalna01
Peyton Battenfield,R,CLE,CHW,2023-05-17,4599696,685410,battepe01
Mike Clevinger,R,CHW,CLE,2023-05-17,34646,605182,clevimi01
Drew Smyly,L,CHC,HOU,2023-05-17,13432,592767,smylydr01
J.P. France,R,HOU,CHC,2023-05-17,4266813,,
Tyler Anderson,L,LAA,BAL,2023-05-18,16126,542881,anderty01
Tyler Wells,R,BAL,LAA,2023-05-18,2500250,669330,wellsty01
Trevor Williams,R,WAS,MIA,2023-05-18,35715,592866,willitr01
Eury Perez,R,MIA,WAS,2023-05-18,4727031,691587,perezeu02
Taj Bradley,R,TBR,NYM,2023-05-18,4267539,671737,bradlta01
Tylor Megill,R,NYM,TBR,2023-05-18,2949570,656731,megilty01
Logan Allen,L,CLE,CHW,2023-05-18,4652998,671106,allenlo02
Dylan Cease,R,CHW,CLE,2023-05-18,813864,656302,ceasedy01
Nestor Cortes,L,NYY,TOR,2023-05-18,41495,641482,cortene01
Jose Berrios,R,TOR,NYY,2023-05-18,35029,621244,berrijo01
Julio Urias,L,LAD,STL,2023-05-18,17768,628711,uriasju01
Adam Wainwright,R,STL,LAD,2023-05-18,13385,425794,wainwad01
Zac Gallen,R,ARI,PIT,2023-05-19,1109352,668678,galleza01
Johan Oviedo,R,PIT,ARI,2023-05-19,2040079,670912,oviedjo01
Clarke Schmidt,R,NYY,CIN,2023-05-19,2039028,657376,schmicl01
Ben Lively,R,CIN,NYY,2023-05-19,36232,594902,livelbe01
Adrian Houser,R,MIL,TBR,2023-05-19,31643,605288,housead01
Shane McClanahan,L,TBR,MIL,2023-05-19,2039185,663556,mcclash01
Matthew Boyd,L,DET,WAS,2023-05-19,18952,571510,boydma01
Jake Irvin,R,WAS,DET,2023-05-19,2040132,663623,irvinja01
Marcus Stroman,R,CHC,PHI,2023-05-19,16408,573186,stromma01
Ranger Suarez,L,PHI,CHC,2023-05-19,38029,624133,suarera01
Kyle Gibson,R,BAL,TOR,2023-05-19,15867,502043,gibsoky01
Yusei Kikuchi,L,TOR,BAL,2023-05-19,814189,579328,kikucyu01
Cal Quantrill,R,CLE,NYM,2023-05-19,989701,615698,quantca01
Carlos Carrasco,R,NYM,CLE,2023-05-19,10678,471911,carraca01
Bryce Miller,R,SEA,ATL,2023-05-19,4686360,682243,millebr04
Bryce Elder,R,ATL,SEA,2023-05-19,3456890,693821,elderbr01
Karl Kauffmann,R,COL,TEX,2023-05-19,2076524,666154,
Martin Perez,L,TEX,COL,2023-05-19,13502,527048,perezma02
