Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time
Dean Kremer,R,BAL,LAA,3.89,4.5,106,0.485,0.35,-0.135,-134,0.573,0.65,0.077,0,1,2023-05-16 18:35:00
Luis Ortiz,R,PIT,DET,3.86,4.5,110,0.476,0.343,-0.133,-140,0.583,0.657,0.074,0,1,2023-05-16 18:40:00
Michael Lorenzen,R,DET,PIT,4.5,4.5,104,0.49,0.469,-0.021,-134,0.573,0.531,-0.042,0,0,2023-05-16 18:40:00
Josiah Gray,R,WAS,MIA,5.56,4.5,-116,0.537,0.653,0.116,-110,0.524,0.347,-0.177,1,0,2023-05-16 18:40:00
Jesus Luzardo,L,MIA,WAS,5.3,5.5,-132,0.569,0.437,-0.132,104,0.49,0.563,0.073,0,1,2023-05-16 18:40:00
Domingo German,R,NYY,TOR,4.4,4.5,-154,0.606,0.449,-0.157,122,0.45,0.551,0.101,0,1,2023-05-16 19:07:00
Kevin Gausman,R,TOR,NYY,6.71,7.5,120,0.455,0.358,-0.097,-154,0.606,0.642,0.036,0,1,2023-05-16 19:07:00
Luis Castillo,R,SEA,BOS,5.98,5.5,120,0.455,0.552,0.097,-152,0.603,0.448,-0.155,1,0,2023-05-16 19:10:00
Nick Pivetta,R,BOS,SEA,6.0,5.5,118,0.459,0.554,0.095,-150,0.6,0.446,-0.154,1,0,2023-05-16 19:10:00
Wade Miley,L,MIL,STL,3.21,3.5,118,0.459,0.401,-0.058,-150,0.6,0.599,-0.001,0,0,2023-05-16 19:45:00
Jordan Montgomery,L,STL,MIL,5.46,5.5,-152,0.603,0.464,-0.139,120,0.455,0.536,0.081,0,1,2023-05-16 19:45:00
Dane Dunning,R,TEX,ATL,5.19,3.5,-164,0.621,0.761,0.14,128,0.439,0.239,-0.2,1,0,2023-05-16 20:05:00
Justin Steele,L,CHC,HOU,4.86,4.5,110,0.476,0.535,0.059,-140,0.583,0.465,-0.118,1,0,2023-05-16 20:10:00
Cristian Javier,R,HOU,CHC,7.64,7.5,-106,0.515,0.496,-0.019,-122,0.55,0.504,-0.046,0,0,2023-05-16 20:10:00
Brady Singer,R,KCR,SDP,6.08,4.5,-110,0.524,0.725,0.201,-116,0.537,0.275,-0.262,1,0,2023-05-16 21:40:00
Seth Lugo,R,SDP,KCR,5.01,5.5,112,0.472,0.385,-0.087,-142,0.587,0.615,0.028,0,1,2023-05-16 21:40:00
